,Total Profit,Total Profit,Total Profit,Total Profit
Guinea-Bissau,255914046.2,211066138.63,249335066.68,231589684.44
Haiti,206786411.75,209104032.31,255412191.84,247800708.87
Honduras,238402576.2,200747210.22,262440710.7,245091654.44
Hungary,222274954.84,234205747.66,234128831.89,260260796.67
Iceland,207596406.01,254274832.65,234683937.33,267035552.4
India,250007207.44,265465328.8,224573120.73,222219355.63
Indonesia,244888663.76,253525727.42,209146899.85,219946455.35
Iran,275781437.52,223347310.16,232747066.07,214547915.29
Iraq,268135810.24,265052711.62,214118814.24,214170062.94
Ireland,215227245.26,216304260.99,246063570.44,259507718.19
Israel,257902915.13,236085429.4,231061594.68,208901034.02
Italy,217289285.86,220417076.44,252636224.57999998,258312318.52
Jamaica,242311284.4,217740456.3,267359629.18,228324375.93
Japan,255913961.91,232403356.63,216460974.84,197615583.18
Jordan,258508807.91,236425668.28,233027994.93,203026398.31
Kazakhstan,270630904.13,278960419.05,210016909.3,228317828.67
Kenya,234114924.5,216211959.56,264604800.67,252981391.51
Kiribati,237474621.13,208681963.99,255674695.08,214097395.47
Kosovo,233291515.48,208523506.88,282207477.43,231059161.38
Kuwait,257617733.85999998,264865163.82,215660769.73,217790589.04
Kyrgyzstan,205748830.5,225844014.43,236685930.06,272649318.61
Laos,208981013.12,225826171.42,252254363.83,250653546.2
Latvia,250900124.25,199803635.18,254179543.65,225397115.79
Lebanon,239690358.08,269829948.95,205835289.64,244048371.74
Lesotho,243242864.13,211926171.43,251680017.7,229602677.99
Liberia,257797342.64,226447540.57,267522683.77,213658596.8
Libya,218834281.51,259518833.09,228569934.06,259221601.17
Liechtenstein,273717315.25,243008371.47,249940806.1,203614661.76
Lithuania,256167258.49,216365990.75,252498420.6,228219498.62
Luxembourg,266226855.62,224850662.89,249357091.79,204783801.1
Macedonia,261177328.5,241851881.63,229833540.47,201154576.8
Madagascar,258466157.54,241908418.99,229611995.66,204495139.23
Malawi,244101747.72,254354552.38,208843751.29,228816015.35
Malaysia,222100881.3,219074598.09,239045341.51,258236845.49
Maldives,222220340.04,225599511.62,242737557.98,251578195.55
Mali,234949702.99,264760621.08,210069858.02,234482812.06
Malta,250315130.64000002,249417798.41,218211206.23,218539037.22
Marshall Islands,261620714.07,216987932.63,243010506.60999998,216842617.07
Mauritania,256177562.06,262907306.64,209034159.28,246215615.59
Mauritius ,242607718.53,264865000.22,207966967.11,234695059.32
Mexico,231997998.56,191954685.64,272793893.54,244695251.97
Moldova ,235303634.81,263876652.54,222945324.73,234857367.93
Monaco,219678271.12,266829832.44,227671092.23,248696476.62
Mongolia,223155394.71,211701401.61,264079671.81,260514477.89000002
Montenegro,214253348.42,231894037.87,234807830.72,257196406.51
Morocco,212140365.49,236271268.53,233188433.11,266098796.21
Mozambique,229153891.03,260823582.36,199991447.19,237640513.63
Myanmar,246924716.53,211828414.17,264100212.39,225200859.21
Namibia,212048826.74,254964943.14000002,223988604.8,251868050.28
Nauru,262256237.08,256171414.44,217275245.31,217482445.42
Nepal,255686203.43,223721771.85,235387285.72,214944360.45
Netherlands,211794530.82,242789949.69,216568620.91,257907421.42000002
New Zealand,244127960.27,263053503.42,201647784.42,237264678.53
Nicaragua,257001984.06,206361637.44,247273661.46,226640782.59
Niger,203861315.88,246802855.99,231856382.38,261615626.37
Nigeria,208970247.32,217853186.83,245849236.37,252312481.89
North Korea,223157649.55,264356932.94,205674495.17,233215089.29
Norway,208631136.82,249374604.06,223985376.32,272711016.83
Oman,218672019.9,219381214.15,250245486.2,263149639.8
Pakistan,221094128.97,233657572.99,235559380.33,264244171.4
Palau,252591209.65,249722877.19,216224508.62,219094068.95
Panama,240809489.09,228158008.01,263926109.26,233350527.6
Papua New Guinea,253944846.39,264782208.8,208928749.71,225732841.32
Philippines,276938234.77,232817916.88,234447667.97,223050815.75
Poland,199739017.51,226318093.21,241002708.89,258197322.48
Portugal,212733092.78,218576130.56,246696503.76,257219445.4
Qatar,211015582.22,224731820.11,237526115.04,259710347.10999998
Republic of the Congo,268394881.75,229487298.31,242058069.3,221203901.97
Romania,240197405.72,207159858.07,275082131.93,238401882.01
Russia,251022363.5,208135020.63,269424546.42,218724296.88
Rwanda,225281550.8,205234883.56,269782169.7,242551583.37
Saint Kitts and Nevis ,263597464.41,212948086.66,247213598.75,224958611.81
Saint Lucia,266933861.92,240440000.82,217425615.86,212771444.08
Saint Vincent and the Grenadines,239633453.98,257083772.86,218179706.94,222129933.23
Samoa ,226626030.49,265649041.43,214699557.31,246456518.38
San Marino,259739872.19,218236436.03,238336232.87,206248795.48
Sao Tome and Principe,242980934.15,215120798.41,258875308.3,260079829.59
Saudi Arabia,217715818.07,221510015.21,253432189.45,241837841.52
Senegal,234223211.05,214178136.69,253038724.83,244971789.3
Serbia,254140000.12,213013004.18,260739437.17000002,235372382.78
Seychelles ,240779840.92,203991120.81,248424062.67,218951574.66
Sierra Leone,263293717.77,226080694.29,254111557.53,217653239.54
Singapore,258365985.85,261777870.13,232365811.57,205920341.03
Slovakia,266840178.24,226370899.44,247896211.02,216102816.01
Slovenia,245613118.18,242662375.0,237244270.58,195653425.78
Solomon Islands,220632565.48,245107082.81,225137142.22,258499258.17
Somalia,243405838.74,198809818.04,264035529.57,227843287.79
South Africa,269720868.35,245720279.2,237172429.47,208757567.95
South Korea,222374771.81,252498587.53,221758396.25,247391937.35
South Sudan,264439995.57,253350699.41,225038674.17,229496191.21
Spain,245525523.99,252993836.94,218450642.1,236604872.42
Sri Lanka,249191065.0,242393458.41,207149173.75,212502799.05
Sudan,241730316.31,262748067.02,203531664.13,225176569.49
Swaziland,254541796.22,264682726.18,207645348.6,235843913.0
Sweden,237594867.49,281689782.83,209805264.47,236310553.08
Switzerland,214125229.84,260409157.89,217100388.38,258872667.06
Syria,243897439.53,218121013.17,250969809.36,217996233.81
Taiwan,248285988.18,249421660.10999998,235124188.2,213807868.45
Tajikistan,261149754.37,263017140.45,213716922.35,225436359.54
Tanzania,242532616.93,266700869.88,214348543.46,224033731.28
Thailand,236333186.69,272187337.4,202080665.82,241611261.36
The Bahamas,240702829.18,211738677.1,269405482.14,229041311.73
The Gambia,203648446.98,230633436.56,232240278.41,277862539.19
Togo,225227061.83,261930767.36,199161266.33,236002679.7
Tonga,195215366.33,245063909.51,228210800.74,272579065.74
Trinidad and Tobago,242538416.02,257006987.65,208797193.61,239609022.77
Tunisia ,255292902.39,234134327.34,240784529.36,205658030.02
Turkey,278585078.01,241524145.63,232243885.49,228452223.37
Turkmenistan,211287391.44,248668264.23,224125741.68,245593074.08
Tuvalu,213321039.42,222201025.27,258073148.9,244968309.88
Uganda,224932840.12,260201678.76,213875305.49,263256677.64
Ukraine,214040710.72,232973433.32999998,210208715.49,270662105.41
United Arab Emirates,253065976.27,219599963.32,250197970.57,201073322.77
United Kingdom,231890882.45,253721685.08,205025153.67,256441629.02
United States of America,246703803.77,220052158.03,262249875.27,218765450.83
Uzbekistan,211984197.37,233623896.15,237865626.93,258431429.4
Vanuatu,221387343.0,205470199.72,254978666.78,245285069.60999998
Vatican City,214525021.43,248376651.04,231971207.16,271340858.32
Vietnam,226330611.48,229203308.63,246255043.54,256568291.79
Yemen,249789026.68,234751000.88,228437683.52,192970378.56
Zambia,204484814.62,250249083.46,255006752.74,269753906.3
Zimbabwe,222187373.23,210654481.01,240512851.96,252384047.06
